Volgorde;Locatiecode;Locatie;Latitude;Longitude;Watertype;Filter;Hoeveelheid water gefilterd (ml);Datum;Tijdsstip;Gewest;Beheerder;Vallen gelegd;Opmerkingen;Verwachte soort(en);Target+IPC check;Niet bemonsterd;;;;;;;;;;;;;;
39;ANB5;Vijver Kessel-Lo;50.892639;4.72125;Vijver;STF1059;2200;07/07/2025;14:00;Vlaanderen;ANB;;;Procambarus virginalis (gekend);Pole_COI 60;;;;;;;;;;;;;;;
40;34;Ronde vijver Woluwepark;50.830798;4.432116;Vijver;STF1060;3900;04/07/2025;15:55;Brussel;Bruxelles environnement (BE-LB);;;Niet gekend (Turkse rivierkreeft aanwezig in die regio);Pole_COI 60;;;;;;;;;;;;;;;
41;ANB2;Grote vijver Hofstade;50.988556;4.5;Vijver;STF1061;7850;09/07/2025;12:55;Vlaanderen;ANB;;Langs oever aan de boskant;Procambarus clarkii (gekend);Pole_COI 60;;;;;;;;;;;;;;;
42;VMM2;Woluwe;50.855358;4.4463939;Stromend;STF1063;6200;14/07/2025;11:00;Vlaanderen;VMM;;;Faxonius limosus;Fali_COI 60;;;;;;;;;;;;;;;
43;13;Fontein Marie-Louise;50.846158;4.378526;Vijver;STF1064;1550;14/07/2025;9:35;Brussel;Ville de Bruxelles;;;Niet gekend;Fali_COI 60;;;;;;;;;;;;;;;
44;VMM15;Zenne ;50.9863228;4.482981;Stromend;STF1065;3000;09/07/2025;14:30;Vlaanderen;VMM;ja;;Geen (niets gevangen in onze vallen);Fali_COI 60;;;;;;;;;;;;;;;
45;ANB3;Weerdse visvijver;50.980583;4.481389;Vijver;STF1066;2800;09/07/2025;15:45;Vlaanderen;ANB;;;Faxonius limosus (gekend);Fali_COI 60;;;;;;;;;;;;;;;
46;;Parc Malou;50.84192;4.438616;Vijver;STF1067;5650;14/07/2025;10:20;Brussel;Commune de Woluwe-Saint-Lambert;;;Faxonius limosus (geregistreerd via waarnemingen.be);Fali_COI 60;;;;;;;;;;;;;;;
47;VMM1;Vijver De Dolfijnen;50.8547078;4.4885367;Vijver;STF1069;600;14/07/2025;12:05;Vlaanderen;VMM;;;Niet gekend;Fali_COI 60;;;;;;;;;;;;;;;
48;VMM11;Vunt stroomafwaarts Kessel-Lo;50.906173;4.712156;Stromend;STF1071;1000;07/07/2025;15:35;Vlaanderen;VMM;ja;Bij brug;Geen (niets gevangen in onze vallen, stroomafwaarts na samenloop met beek van Kessel-Lo, Procambarus virginalis mogelijk);Fali_COI 60;;;;;;;;;;;;;;;
49;VMM14;Barebeek;50.987021;4.489679;Stromend;STF1062;4550;09/07/2025;14:00;Vlaanderen;VMM;;;Niet gekend (Procambarus clarkii mogelijk want vlak bij Domein Hofstade);Pole_COI 60;;;;;;;;;;;;;;;
50;VMM12;Leuven Vunt;50.899992;4.711546;Stromend;STF1072;1400;07/07/2025;15:00;Vlaanderen;VMM;;Bemonsterd van parking Aquafin;Niet gekend (Stroomopwaarts van samenloop met beek Kessel-Lo);Pole_COI 60;;;;;;;;;;;;;;;
51;Extra;Plantentuin Meise Kasteelvijver;50.9290854;4.3304383;Vijver;STF1077;800;09/07/2025;10:25;Vlaanderen;ANB;;Kasteelvijver ipv oranjerievijver, want die was droog gelegd (was gekende locatie Turkse);Pontastacus leptodactylus (waarnemingen in oranjerievijver en in de buurt van de plantentuin);Pole_COI 60;;;;;;;;;;;;;;;
